chapterId,sceneIdOrPageId,itemType,audioType,displayText,textToSpeak,targetFileName,assetsPath,deployCnPath,currentExists,priority,notes
"zoo","entrance","dialogue","dialogue","You are standing at the zoo entrance. The gate is right in front of you.","You are standing at the zoo entrance. The gate is right in front of you.","entrance--entrance--intro-1.mp3","assets/audio/dialogues/zoo/entrance--entrance--intro-1.mp3","deploy-cn/assets/audio/dialogues/zoo/entrance--entrance--intro-1.mp3","true","P0","Dialogue intro audio."
"zoo","entrance","hotspot","word","gate","gate","zoo-gate.mp3","assets/audio/words/zoo/zoo-gate.mp3","deploy-cn/assets/audio/words/zoo/zoo-gate.mp3","true","P0","Learning item word audio. Existing P0 path retained for compatibility."
"zoo","entrance","hotspot","sentence","gate","We walk through the zoo gate.","zoo-gate.mp3","assets/audio/sentences/zoo/zoo-gate.mp3","deploy-cn/assets/audio/sentences/zoo/zoo-gate.mp3","true","P0","Learning item example audio. Existing P0 path retained for compatibility."
"zoo","entrance","hotspot","word","exhibit","exhibit","entrance--sign.mp3","assets/audio/words/zoo/entrance--sign.mp3","deploy-cn/assets/audio/words/zoo/entrance--sign.mp3","true","P0","Learning item word audio. Existing P0 path retained for compatibility."
"zoo","entrance","hotspot","sentence","exhibit","The exhibit shows where the animals live.","entrance--sign.mp3","assets/audio/sentences/zoo/entrance--sign.mp3","deploy-cn/assets/audio/sentences/zoo/entrance--sign.mp3","true","P0","Learning item example audio. Existing P0 path retained for compatibility."
"zoo","entrance","hotspot","word","ticket booth","ticket booth","entrance--ticketbooth.mp3","assets/audio/words/zoo/entrance--ticketbooth.mp3","deploy-cn/assets/audio/words/zoo/entrance--ticketbooth.mp3","true","P0","Learning item word audio. Existing P0 path retained for compatibility."
"zoo","entrance","hotspot","sentence","ticket booth","The ticket booth is on the left.","entrance--ticketbooth.mp3","assets/audio/sentences/zoo/entrance--ticketbooth.mp3","deploy-cn/assets/audio/sentences/zoo/entrance--ticketbooth.mp3","true","P0","Learning item example audio. Existing P0 path retained for compatibility."
"zoo","ticket","dialogue","dialogue","You walk to the ticket booth. The ticket seller smiles and waits to help.","You walk to the ticket booth. The ticket seller smiles and waits to help.","ticket--ticket--intro-1.mp3","assets/audio/dialogues/zoo/ticket--ticket--intro-1.mp3","deploy-cn/assets/audio/dialogues/zoo/ticket--ticket--intro-1.mp3","true","P0","Dialogue intro audio."
"zoo","ticket","hotspot","word","ticket","ticket","ticket--ticket.mp3","assets/audio/words/zoo/ticket--ticket.mp3","deploy-cn/assets/audio/words/zoo/ticket--ticket.mp3","true","P0","Learning item word audio. Existing P0 path retained for compatibility."
"zoo","ticket","hotspot","sentence","ticket","I need one ticket, please.","ticket--ticket.mp3","assets/audio/sentences/zoo/ticket--ticket.mp3","deploy-cn/assets/audio/sentences/zoo/ticket--ticket.mp3","true","P0","Learning item example audio. Existing P0 path retained for compatibility."
